Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
فندق الميقات اجياد,-0.08224072129545623,-0.8872357311317024,-0.3144360246645361,"Lat: 21.4197991, Lng: 39.828957599999995",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4197991,39.8289576,0.0,False,True,False,False,False,True,False,False,True,False,False
Hotel mekkah,0.1345528947676383,1.9692673841555492,-0.35357685559496593,"Lat: 21.418908599999998, Lng: 39.8290042",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4189086,39.8290042,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق إيلاف أجياد,1.0763765238050131,-1.766159766604704,-0.07755245413766378,"Lat: 21.4179614, Lng: 39.8288399",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4179614,39.8288399,0.0,False,True,False,False,False,True,False,False,False,False,True
فندق بولمان زمزم مكة,2.7615814188263133,1.0903433486825478,5.844434879786929,"Lat: 21.4196355, Lng: 39.8237376",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4196355,39.8237376,0.0,False,True,False,False,False,True,False,False,False,False,True
نور الصلاح,-0.08224072129545623,-2.205621784341204,-0.31790161906983455,"Lat: 21.4261777, Lng: 39.8193602",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4261777,39.8193602,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق ازكى المقام,-0.08224072129545623,-0.22804270452695236,0.03569093951782466,"Lat: 21.4201089, Lng: 39.8280633",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4201089,39.8280633,0.0,False,True,False,False,False,True,False,False,True,False,False
أبراج الساعة مكة المكرمه,-0.08224072129545623,1.3100743575507992,5.952072164845611,"Lat: 21.4191164, Lng: 39.8255149",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4191164,39.8255149,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق جراند زمزم,-0.08224072129545623,0.8706123398142984,-0.3497035442008088,"Lat: 21.4187536, Lng: 39.824337899999996",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4187536,39.8243379,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق برج الجوار,-0.08224072129545623,-1.3266977488682032,-0.28202252405027384,"Lat: 21.419297999999998, Lng: 39.8280641",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.419298,39.8280641,0.0,False,True,False,False,False,True,False,False,True,False,False
Adress,-0.08224072129545623,-0.8872357311317024,-0.3508247659201701,"Lat: 21.4216489, Lng: 39.8188332",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4216489,39.8188332,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق ميره اجياد مكة,2.23406065434567,-0.008311695658702966,-0.22504407485727831,"Lat: 21.4206202, Lng: 39.830363999999996",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4206202,39.830364,0.0,False,True,False,False,False,True,False,False,False,False,True
تلال جبل الكعبة,-0.08224072129545623,0.43115032207779774,0.284602161216027,"Lat: 21.425438300000003, Lng: 39.819535099999996",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.425438300000003,39.8195351,0.0,False,True,False,False,False,True,False,False,True,False,False
مآثر الإيمان أجياد,-0.08224072129545623,-0.8872357311317024,-0.26031159439355106,"Lat: 21.4175564, Lng: 39.8292837",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.4175564,39.8292837,0.0,False,True,False,False,False,True,False,False,True,False,False
شيراتون مكة جبل الكعبة,-0.08224072129545623,0.21141931320954838,0.45839152771702407,"Lat: 21.425969, Lng: 39.819486",2026-03-10,2026-03-15,Hotels near Masjid al Haram,High spiritual tourism season during Ramadan,21.425969,39.819486,0.0,False,True,False,False,False,True,False,False,True,False,False
